date,gpp,nee,stress
2012-01-01,0.179,0.98,0.042
2012-01-02,0.0,1.528,0.022
2012-01-03,0.088,1.279,0.081
2012-01-04,0.3,1.266,0.0
2012-01-05,0.0,0.905,0.0
2012-01-06,0.0,1.144,0.059
2012-01-07,0.139,1.423,0.059
2012-01-08,0.42,0.667,0.067
2012-01-09,0.0,1.389,0.04
2012-01-10,0.0,,0.037
2012-01-11,0.087,0.867,0.026
2012-01-12,0.458,0.472,0.051
2012-01-13,0.0,1.284,0.047
2012-01-14,0.291,1.415,0.006
2012-01-15,0.128,0.831,0.093
2012-01-16,0.0,0.794,0.068
2012-01-17,0.0,0.95,0.021
2012-01-18,0.086,1.588,0.006
2012-01-19,0.0,1.088,0.0
2012-01-20,0.344,1.276,0.016
2012-01-21,0.155,1.592,0.057
2012-01-22,0.195,1.104,0.066
2012-01-23,0.189,0.547,0.079
2012-01-24,0.0,1.419,0.075
2012-01-25,0.567,0.971,0.011
2012-01-26,0.232,1.388,0.06
2012-01-27,0.0,1.416,0.03
2012-01-28,0.336,1.203,0.024
2012-01-29,,1.097,0.009
2012-01-30,0.0,1.136,0.092
2012-01-31,0.228,1.52,0.026
2012-02-01,0.057,1.345,0.06
2012-02-02,0.105,1.26,0.045
2012-02-03,0.207,1.575,0.073
2012-02-04,0.0,1.43,0.037
2012-02-05,0.146,0.851,0.04
2012-02-06,0.097,1.29,0.016
2012-02-07,0.243,0.999,0.037
2012-02-08,0.139,0.993,0.123
2012-02-09,0.0,0.536,0.043
2012-02-10,0.0,1.429,0.08
2012-02-11,0.541,0.487,0.076
2012-02-12,,0.625,0.04
2012-02-13,0.0,0.968,0.083
2012-02-14,0.443,0.987,0.055
2012-02-15,0.076,1.531,
2012-02-16,,1.469,0.081
2012-02-17,0.0,1.409,0.077
2012-02-18,0.258,,0.057
2012-02-19,0.0,0.635,0.068
2012-02-20,0.302,1.108,0.088
2012-02-21,0.0,1.76,0.05
2012-02-22,0.594,1.046,0.023
2012-02-23,0.544,0.751,0.0
2012-02-24,0.2,,
2012-02-25,0.581,1.148,0.084
2012-02-26,0.422,1.043,0.028
2012-02-27,0.0,0.659,0.093
2012-02-28,,,
2012-02-29,,,
2012-03-01,,,
2012-03-02,,,
2012-03-03,0.478,0.717,0.0
2012-03-04,0.102,1.109,0.044
2012-03-05,0.136,1.509,0.104
2012-03-06,0.0,1.385,0.044
2012-03-07,0.0,1.629,0.001
2012-03-08,0.432,0.74,0.05
2012-03-09,0.0,1.277,0.003
2012-03-10,0.0,,0.023
2012-03-11,0.313,0.682,0.015
2012-03-12,0.0,1.318,0.031
2012-03-13,0.0,1.189,0.0
2012-03-14,0.49,1.202,0.073
2012-03-15,0.475,0.568,0.09
2012-03-16,0.719,0.695,0.077
2012-03-17,0.0,1.959,0.108
2012-03-18,0.539,1.323,0.022
2012-03-19,0.634,0.726,0.067
2012-03-20,0.628,0.881,0.059
2012-03-21,0.236,1.355,0.02
2012-03-22,0.091,2.052,0.024
2012-03-23,0.0,1.532,0.069
2012-03-24,0.586,1.097,0.101
2012-03-25,0.826,0.748,0.0
2012-03-26,1.126,0.257,0.09
2012-03-27,0.588,0.674,0.059
2012-03-28,0.919,0.253,0.114
2012-03-29,0.936,1.393,0.101
2012-03-30,0.716,0.332,
2012-03-31,0.845,0.713,0.048
2012-04-01,0.833,1.085,0.064
2012-04-02,,,
2012-04-03,,,
2012-04-04,,,
2012-04-05,1.244,0.762,0.063
2012-04-06,,,
2012-04-07,,,
2012-04-08,1.58,0.157,0.019
2012-04-09,1.265,0.899,0.027
2012-04-10,1.387,0.847,0.095
2012-04-11,1.539,0.568,0.1
2012-04-12,1.516,0.867,0.046
2012-04-13,1.643,1.199,0.068
2012-04-14,1.316,1.461,0.087
2012-04-15,1.766,0.766,0.04
2012-04-16,1.597,1.028,0.015
2012-04-17,1.614,0.986,0.073
2012-04-18,1.702,0.773,0.056
2012-04-19,1.541,0.387,0.018
2012-04-20,1.14,0.989,0.037
2012-04-21,1.908,0.191,0.067
2012-04-22,2.194,,0.105
2012-04-23,,,
2012-04-24,,,
2012-04-25,,,
2012-04-26,,,
2012-04-27,,,
2012-04-28,,,
2012-04-29,,,
2012-04-30,2.692,0.157,0.044
2012-05-01,3.035,0.014,0.071
2012-05-02,2.071,0.551,0.045
2012-05-03,3.208,-0.159,0.005
2012-05-04,3.145,0.459,0.042
2012-05-05,3.076,0.231,0.049
2012-05-06,3.598,-0.46,0.072
2012-05-07,3.36,-0.075,0.039
2012-05-08,3.782,-0.02,0.035
2012-05-09,3.76,0.268,0.12
2012-05-10,3.17,0.271,0.083
2012-05-11,4.951,-0.178,
2012-05-12,4.597,-0.283,0.073
2012-05-13,,-0.029,0.065
2012-05-14,5.278,-0.691,0.057
2012-05-15,4.682,-0.402,0.085
2012-05-16,5.06,-0.193,0.067
2012-05-17,4.957,-0.446,0.1
2012-05-18,4.844,-0.287,0.092
2012-05-19,5.483,-0.349,0.029
2012-05-20,5.657,-0.608,0.03
2012-05-21,5.911,-0.314,0.096
2012-05-22,5.932,-0.903,0.05
2012-05-23,6.424,-1.025,0.0
2012-05-24,5.374,,0.005
2012-05-25,5.973,-0.99,0.048
2012-05-26,5.721,-0.466,0.051
2012-05-27,6.283,-0.94,0.064
2012-05-28,,-1.055,0.035
2012-05-29,6.397,-1.076,0.036
2012-05-30,6.961,-0.434,0.059
2012-05-31,6.921,-0.93,0.029
2012-06-01,7.11,-0.961,0.034
2012-06-02,7.311,-0.97,0.043
2012-06-03,6.207,,0.133
2012-06-04,6.784,-0.47,0.17
2012-06-05,6.712,-0.335,0.236
2012-06-06,6.626,-0.358,0.183
2012-06-07,,-0.418,0.236
2012-06-08,6.485,-0.15,0.308
2012-06-09,6.799,-0.226,0.312
2012-06-10,6.686,-0.121,0.28
2012-06-11,6.069,0.324,0.322
2012-06-12,6.794,-0.417,0.324
2012-06-13,6.441,-0.396,0.371
2012-06-14,6.727,0.524,0.305
2012-06-15,7.351,-0.408,0.366
2012-06-16,6.712,-0.3,0.391
2012-06-17,6.55,0.007,0.401
2012-06-18,6.56,0.324,0.393
2012-06-19,6.695,0.554,0.417
2012-06-20,5.981,0.911,0.471
2012-06-21,6.025,0.776,0.509
2012-06-22,6.071,0.73,0.438
2012-06-23,5.273,1.201,0.467
2012-06-24,6.17,,0.504
2012-06-25,5.197,1.099,0.554
2012-06-26,5.572,1.041,0.584
2012-06-27,6.089,1.453,0.586
2012-06-28,5.387,1.581,0.577
2012-06-29,4.516,1.95,0.578
2012-06-30,6.04,1.246,0.653
2012-07-01,5.113,1.513,0.681
2012-07-02,3.641,2.074,0.661
2012-07-03,,,
2012-07-04,,,
2012-07-05,,,
2012-07-06,,,
2012-07-07,,,
2012-07-08,4.141,2.049,0.81
2012-07-09,4.199,1.958,0.804
2012-07-10,4.097,1.931,0.763
2012-07-11,3.657,2.171,0.835
2012-07-12,2.757,2.463,0.837
2012-07-13,,2.615,0.892
2012-07-14,3.529,2.517,0.855
2012-07-15,2.914,2.353,0.914
2012-07-16,3.453,2.498,0.892
2012-07-17,3.133,2.175,0.881
2012-07-18,2.768,2.064,0.925
2012-07-19,2.237,2.187,0.939
2012-07-20,2.997,2.181,0.912
2012-07-21,,,
2012-07-22,,,
2012-07-23,,,
2012-07-24,,,
2012-07-25,,,
2012-07-26,,2.307,0.949
2012-07-27,,,
2012-07-28,,,
2012-07-29,2.831,1.849,0.984
2012-07-30,2.875,1.917,0.871
2012-07-31,1.716,2.403,0.958
2012-08-01,2.278,1.922,0.882
2012-08-02,2.238,2.333,0.956
2012-08-03,2.079,2.205,0.964
2012-08-04,1.868,2.561,0.939
2012-08-05,2.095,1.632,0.922
2012-08-06,2.48,2.141,0.905
2012-08-07,2.627,,0.888
2012-08-08,2.18,1.726,0.905
2012-08-09,2.381,1.602,0.858
2012-08-10,2.232,1.827,0.866
2012-08-11,2.058,2.33,0.831
2012-08-12,2.335,2.128,0.805
2012-08-13,,,
2012-08-14,,,
2012-08-15,1.964,2.157,0.777
2012-08-16,2.5,1.45,0.713
2012-08-17,2.253,1.82,0.728
2012-08-18,1.609,2.117,0.687
2012-08-19,2.502,1.636,0.686
2012-08-20,2.092,1.826,0.625
2012-08-21,1.332,1.827,0.7
2012-08-22,1.85,1.404,0.732
2012-08-23,2.018,1.397,0.663
